,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Kmeans_7,Cat
390,460272,Female,No,88,Yes,Lawyer,0.0,Low,1.0,Cat_6,3,Cat_3
391,460275,Female,No,46,Yes,Artist,6.0,Low,1.0,Cat_6,3,Cat_3
392,460276,Female,Yes,41,Yes,Artist,3.0,Low,2.0,Cat_6,5,Cat_5
393,460281,Female,No,30,Yes,Doctor,10.0,Low,5.0,Cat_6,3,Cat_3
394,460283,Male,Yes,43,Yes,Doctor,12.0,Low,2.0,Cat_6,4,Cat_4
395,460284,Female,No,29,Yes,Entertainment,9.0,Low,2.0,Cat_6,3,Cat_3
396,460287,Male,Yes,48,Yes,Artist,1.0,Low,1.0,Cat_6,4,Cat_4
397,460289,Female,Yes,61,Yes,Artist,4.0,Average,6.0,Cat_4,5,Cat_5
398,460298,Female,No,51,Yes,Lawyer,2.0,Low,1.0,Cat_6,3,Cat_3
401,460306,Female,No,43,Yes,Healthcare,9.0,Low,1.0,Cat_6,3,Cat_3
402,460310,Male,No,27,No,Healthcare,14.0,Low,4.0,Cat_6,2,Cat_2
403,460315,Female,No,35,No,Doctor,14.0,Low,6.0,Cat_7,2,Cat_2
404,460319,Female,Yes,39,No,Doctor,4.0,Average,2.0,Cat_7,5,Cat_5
406,460323,Female,No,38,Yes,Engineer,10.0,Low,1.0,Cat_6,3,Cat_3
407,460324,Female,No,30,Yes,Entertainment,12.0,Low,2.0,Cat_6,3,Cat_3
408,460327,Female,No,43,Yes,Artist,10.0,Low,1.0,Cat_6,3,Cat_3
409,460333,Female,No,42,No,Entertainment,10.0,Low,4.0,Cat_6,2,Cat_2
410,460336,Female,No,46,Yes,Artist,2.0,Low,1.0,Cat_7,3,Cat_3
411,460340,Female,No,47,Yes,Artist,11.0,Low,2.0,Cat_6,3,Cat_3
412,460341,Female,No,32,No,Entertainment,13.0,Low,5.0,Cat_7,2,Cat_2
413,460344,Female,Yes,53,Yes,Artist,11.0,Average,2.0,Cat_6,5,Cat_5
415,460348,Female,No,39,Yes,Artist,0.0,Low,2.0,Cat_6,3,Cat_3
417,460354,Female,No,37,Yes,Artist,3.0,Low,1.0,Cat_3,3,Cat_3
418,460356,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,2,Cat_2
419,460358,Male,No,30,No,Marketing,1.0,Low,1.0,Cat_3,2,Cat_2
420,460361,Female,Yes,49,Yes,Artist,0.0,Low,1.0,Cat_4,3,Cat_3
421,460362,Male,Yes,55,Yes,Healthcare,0.0,Low,3.0,Cat_4,4,Cat_4
422,460365,Female,Yes,59,Yes,Doctor,1.0,Low,2.0,Cat_4,5,Cat_5
424,460370,Female,Yes,27,Yes,Executive,9.0,High,2.0,Cat_6,1,Cat_1
425,460371,Female,No,25,Yes,Artist,1.0,Low,2.0,Cat_6,3,Cat_3
426,460378,Female,No,37,Yes,Doctor,1.0,Low,1.0,Cat_6,3,Cat_3
427,460379,Male,No,38,Yes,Artist,9.0,Low,3.0,Cat_6,0,Cat_0
428,460380,Male,No,29,Yes,Entertainment,9.0,Low,3.0,Cat_6,0,Cat_0
429,460381,Male,No,28,Yes,Artist,11.0,Low,2.0,Cat_6,0,Cat_0
430,460384,Female,Yes,27,Yes,Marketing,8.0,Low,2.0,Cat_6,5,Cat_5
431,460387,Female,No,42,No,Entertainment,3.0,Low,2.0,Cat_6,2,Cat_2
432,460388,Female,No,43,Yes,Artist,14.0,Low,2.0,Cat_6,3,Cat_3
433,460389,Female,Yes,40,Yes,Healthcare,8.0,Average,2.0,Cat_6,5,Cat_5
434,460390,Male,No,41,Yes,Artist,9.0,Low,3.0,Cat_6,0,Cat_0
435,460392,Male,Yes,46,No,Entertainment,8.0,Low,1.0,Cat_1,4,Cat_4
436,460394,Female,No,32,Yes,Healthcare,9.0,Low,3.0,Cat_6,3,Cat_3
437,460397,Female,No,56,Yes,Entertainment,1.0,Low,1.0,Cat_6,3,Cat_3
438,460399,Male,No,28,Yes,Marketing,12.0,Low,1.0,Cat_6,0,Cat_0
439,460401,Female,No,25,Yes,Artist,0.0,Low,3.0,Cat_7,3,Cat_3
440,460404,Male,Yes,42,Yes,Artist,6.0,Low,7.0,Cat_6,4,Cat_4
441,460405,Female,No,41,Yes,Entertainment,5.0,Low,2.0,Cat_6,3,Cat_3
442,460406,Male,Yes,36,Yes,Healthcare,3.0,Low,2.0,Cat_6,4,Cat_4
443,460408,Female,No,42,Yes,Artist,2.0,Low,1.0,Cat_6,3,Cat_3
444,460409,Female,No,42,Yes,Artist,8.0,Low,4.0,Cat_6,3,Cat_3
445,460415,Female,No,55,Yes,Entertainment,1.0,Low,2.0,Cat_6,3,Cat_3
447,460431,Female,No,47,Yes,Engineer,1.0,Low,1.0,Cat_6,3,Cat_3
449,460437,Female,No,26,Yes,Artist,8.0,Low,1.0,Cat_6,3,Cat_3
450,460440,Female,No,28,No,Artist,5.0,Low,2.0,Cat_6,2,Cat_2
451,460443,Female,No,37,Yes,Doctor,0.0,Low,1.0,Cat_6,3,Cat_3
453,460449,Male,No,25,No,Marketing,2.0,Low,1.0,Cat_3,2,Cat_2
454,460450,Male,Yes,50,Yes,Executive,1.0,High,4.0,Cat_4,1,Cat_1
455,460453,Female,No,42,Yes,Doctor,5.0,Low,1.0,Cat_6,3,Cat_3
458,460459,Female,No,30,No,Engineer,1.0,Low,5.0,Cat_3,2,Cat_2
459,460460,Male,Yes,26,No,Entertainment,2.0,Low,4.0,Cat_3,4,Cat_4
463,460477,Male,No,30,No,Entertainment,1.0,Low,6.0,Cat_3,2,Cat_2
464,460484,Female,No,20,No,Healthcare,4.0,Low,7.0,Cat_3,2,Cat_2
465,460485,Female,No,19,No,Marketing,8.0,Low,5.0,Cat_3,2,Cat_2
466,460489,Male,No,19,No,Healthcare,9.0,Low,6.0,Cat_3,2,Cat_2
468,460495,Male,No,20,No,Healthcare,0.0,Low,6.0,Cat_3,2,Cat_2
470,460505,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_3,3,Cat_3
471,460507,Male,No,31,No,Doctor,0.0,Low,4.0,Cat_3,2,Cat_2
472,460508,Male,Yes,31,Yes,Healthcare,2.0,High,3.0,Cat_3,1,Cat_1
473,460518,Female,Yes,41,Yes,Engineer,9.0,Average,3.0,Cat_3,5,Cat_5
475,460541,Female,Yes,42,Yes,Homemaker,0.0,Average,3.0,Cat_3,5,Cat_5
477,460545,Male,Yes,78,No,Lawyer,1.0,High,3.0,Cat_3,1,Cat_1
478,460546,Female,Yes,65,Yes,Lawyer,1.0,Low,2.0,Cat_3,5,Cat_5
480,460549,Male,No,36,Yes,Artist,8.0,Low,2.0,Cat_3,0,Cat_0
481,460550,Female,Yes,55,Yes,Artist,0.0,Average,4.0,Cat_3,5,Cat_5
482,460551,Male,Yes,52,Yes,Engineer,0.0,Average,2.0,Cat_3,6,Cat_6
483,460555,Male,Yes,52,Yes,Homemaker,7.0,Average,3.0,Cat_3,6,Cat_6
486,460561,Female,No,37,No,Engineer,7.0,Low,1.0,Cat_3,3,Cat_3
487,460563,Female,No,40,No,Healthcare,1.0,Low,2.0,Cat_1,2,Cat_2
489,460571,Male,No,25,No,Doctor,0.0,Low,3.0,Cat_3,2,Cat_2
490,460572,Female,No,33,Yes,Engineer,1.0,Low,4.0,Cat_3,3,Cat_3
491,460574,Male,No,26,Yes,Artist,1.0,Low,1.0,Cat_3,0,Cat_0
492,460582,Female,No,28,No,Entertainment,0.0,Low,1.0,Cat_3,2,Cat_2
493,460583,Male,No,18,No,Marketing,0.0,Low,6.0,Cat_3,2,Cat_2
494,460585,Male,No,52,No,Entertainment,0.0,Low,3.0,Cat_3,2,Cat_2
495,460586,Male,No,26,Yes,Healthcare,0.0,Low,2.0,Cat_3,0,Cat_0
496,460588,Male,No,18,No,Healthcare,0.0,Low,4.0,Cat_3,2,Cat_2
497,460597,Female,No,20,No,Marketing,1.0,Low,2.0,Cat_3,2,Cat_2
498,460598,Female,Yes,36,Yes,Doctor,0.0,Average,3.0,Cat_3,5,Cat_5
499,460605,Male,Yes,27,Yes,Doctor,8.0,Average,2.0,Cat_4,6,Cat_6
501,460612,Male,No,27,Yes,Entertainment,8.0,Low,4.0,Cat_3,0,Cat_0
505,460621,Male,Yes,80,Yes,Lawyer,1.0,Low,2.0,Cat_3,4,Cat_4
506,460622,Female,Yes,71,Yes,Lawyer,7.0,High,3.0,Cat_3,1,Cat_1
507,460626,Male,Yes,47,No,Doctor,8.0,High,4.0,Cat_6,1,Cat_1
512,460638,Female,No,26,Yes,Artist,0.0,Low,4.0,Cat_3,3,Cat_3
515,460645,Female,No,37,No,Doctor,1.0,Low,2.0,Cat_3,2,Cat_2
517,460653,Female,No,28,No,Homemaker,8.0,Low,1.0,Cat_4,3,Cat_3
518,460656,Female,Yes,29,Yes,Artist,9.0,Low,3.0,Cat_6,3,Cat_3
519,460658,Female,Yes,37,Yes,Marketing,7.0,Average,3.0,Cat_6,5,Cat_5
522,460661,Female,No,33,No,Homemaker,8.0,Low,1.0,Cat_6,3,Cat_3
524,460678,Female,No,32,No,Doctor,6.0,Low,2.0,Cat_3,2,Cat_2
526,460687,Female,Yes,48,Yes,Homemaker,9.0,Average,2.0,Cat_3,5,Cat_5
527,460691,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,3,Cat_3
528,460702,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,3,Cat_3
529,460703,Female,Yes,33,Yes,Engineer,8.0,Average,5.0,Cat_4,5,Cat_5
530,460706,Female,No,33,No,Engineer,7.0,Low,6.0,Cat_4,2,Cat_2
531,460708,Male,Yes,39,Yes,Artist,0.0,Low,3.0,Cat_6,4,Cat_4
532,460716,Male,Yes,50,Yes,Entertainment,0.0,Average,4.0,Cat_6,6,Cat_6
534,460720,Female,Yes,46,Yes,Artist,0.0,Average,2.0,Cat_6,5,Cat_5
535,460722,Male,Yes,31,No,Entertainment,0.0,Average,3.0,Cat_3,6,Cat_6
536,460726,Male,Yes,57,Yes,Artist,3.0,Average,2.0,Cat_6,6,Cat_6
537,460727,Male,Yes,73,No,Executive,1.0,High,4.0,Cat_3,1,Cat_1
538,460729,Male,Yes,36,Yes,Entertainment,9.0,Low,4.0,Cat_6,4,Cat_4
539,460733,Male,No,53,Yes,Marketing,2.0,Low,4.0,Cat_6,0,Cat_0
542,460740,Male,Yes,35,Yes,Artist,2.0,Average,3.0,Cat_6,6,Cat_6
543,460743,Male,Yes,62,Yes,Artist,0.0,Average,3.0,Cat_6,6,Cat_6
544,460746,Male,No,23,No,Marketing,0.0,Low,3.0,Cat_6,2,Cat_2
545,460763,Male,No,51,Yes,Artist,1.0,Low,2.0,Cat_6,0,Cat_0
546,460769,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
547,460780,Female,No,26,Yes,Healthcare,0.0,Low,2.0,Cat_3,3,Cat_3
548,460783,Male,Yes,86,Yes,Lawyer,1.0,Low,1.0,Cat_6,4,Cat_4
549,460785,Male,No,26,Yes,Healthcare,0.0,Low,4.0,Cat_7,0,Cat_0
550,460789,Male,Yes,42,Yes,Executive,0.0,Low,3.0,Cat_6,4,Cat_4
551,460794,Female,Yes,41,Yes,Homemaker,9.0,Low,1.0,Cat_6,3,Cat_3
552,460796,Male,Yes,67,No,Lawyer,0.0,Low,3.0,Cat_6,4,Cat_4
553,460802,Male,Yes,68,Yes,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
554,460811,Female,Yes,45,No,Engineer,0.0,High,2.0,Cat_6,1,Cat_1
555,460813,Female,Yes,86,No,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
556,460815,Male,Yes,62,Yes,Artist,0.0,High,2.0,Cat_3,1,Cat_1
557,460822,Male,Yes,42,Yes,Artist,1.0,Low,2.0,Cat_6,4,Cat_4
558,460825,Male,No,26,Yes,Doctor,0.0,Low,3.0,Cat_4,0,Cat_0
559,460828,Male,No,48,No,Entertainment,1.0,Low,1.0,Cat_6,2,Cat_2
560,460830,Male,Yes,40,No,Entertainment,3.0,Average,5.0,Cat_2,6,Cat_6
561,460831,Male,No,20,No,Healthcare,0.0,Low,4.0,Cat_6,2,Cat_2
562,460837,Female,No,25,Yes,Artist,1.0,Low,1.0,Cat_5,3,Cat_3
564,460840,Male,Yes,77,Yes,Lawyer,1.0,Low,1.0,Cat_6,4,Cat_4
566,460846,Female,No,22,No,Marketing,0.0,Low,4.0,Cat_6,2,Cat_2
567,460847,Male,No,26,Yes,Artist,1.0,Low,3.0,Cat_6,0,Cat_0
568,460851,Male,Yes,71,No,Doctor,0.0,Average,3.0,Cat_6,6,Cat_6
570,460857,Male,No,29,No,Entertainment,1.0,Low,1.0,Cat_4,2,Cat_2
572,460860,Male,Yes,52,Yes,Artist,6.0,Average,4.0,Cat_6,6,Cat_6
573,460861,Male,No,20,No,Healthcare,1.0,Low,3.0,Cat_3,2,Cat_2
574,460866,Male,No,26,Yes,Doctor,0.0,Low,9.0,Cat_4,0,Cat_0
577,460872,Female,Yes,39,Yes,Artist,0.0,Low,2.0,Cat_4,5,Cat_5
578,460877,Female,Yes,53,No,Artist,1.0,Average,5.0,Cat_6,5,Cat_5
579,460878,Male,Yes,49,No,Entertainment,0.0,Average,4.0,Cat_6,6,Cat_6
580,460882,Male,No,21,No,Healthcare,0.0,Low,2.0,Cat_3,2,Cat_2
581,460888,Male,Yes,39,No,Homemaker,8.0,Low,1.0,Cat_6,4,Cat_4
582,460891,Female,Yes,38,No,Artist,2.0,Average,4.0,Cat_3,5,Cat_5
583,460897,Male,No,22,No,Healthcare,4.0,Low,4.0,Cat_6,2,Cat_2
584,460898,Male,Yes,52,No,Artist,2.0,Average,4.0,Cat_6,6,Cat_6
586,460901,Male,No,20,No,Doctor,8.0,Low,3.0,Cat_6,2,Cat_2
587,460902,Male,No,41,Yes,Executive,1.0,Low,3.0,Cat_6,0,Cat_0
588,460905,Male,No,30,Yes,Artist,1.0,Low,1.0,Cat_3,0,Cat_0
589,460906,Female,Yes,89,Yes,Lawyer,1.0,High,3.0,Cat_6,1,Cat_1
590,460907,Male,Yes,83,No,Lawyer,1.0,High,3.0,Cat_6,1,Cat_1
591,460923,Male,Yes,53,Yes,Artist,0.0,Average,3.0,Cat_6,6,Cat_6
592,460924,Male,No,31,No,Doctor,1.0,Low,5.0,Cat_2,2,Cat_2
593,460928,Male,Yes,48,Yes,Artist,1.0,Average,4.0,Cat_6,6,Cat_6
594,460934,Female,No,29,No,Doctor,0.0,Low,2.0,Cat_6,2,Cat_2
595,460935,Male,Yes,87,Yes,Lawyer,0.0,Low,1.0,Cat_6,4,Cat_4
596,460945,Male,No,19,No,Engineer,4.0,Low,7.0,Cat_6,2,Cat_2
597,460953,Male,Yes,60,No,Entertainment,1.0,Low,2.0,Cat_6,4,Cat_4
598,460961,Male,No,23,No,Healthcare,1.0,Low,2.0,Cat_3,2,Cat_2
599,460962,Male,Yes,61,Yes,Executive,9.0,High,4.0,Cat_6,1,Cat_1
600,460963,Female,No,27,Yes,Artist,1.0,Low,3.0,Cat_6,3,Cat_3
601,460968,Male,Yes,32,No,Doctor,14.0,Average,2.0,Cat_3,6,Cat_6
603,460976,Male,No,19,No,Healthcare,1.0,Low,4.0,Cat_6,2,Cat_2
604,460977,Male,Yes,42,Yes,Executive,0.0,High,3.0,Cat_4,1,Cat_1
605,460979,Male,Yes,76,No,Lawyer,1.0,Low,1.0,Cat_6,4,Cat_4
606,460981,Female,Yes,41,No,Marketing,1.0,Average,2.0,Cat_6,5,Cat_5
607,460984,Male,Yes,38,Yes,Entertainment,0.0,Average,4.0,Cat_6,6,Cat_6
608,460988,Male,Yes,43,Yes,Entertainment,0.0,Average,3.0,Cat_4,6,Cat_6
609,460989,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_1,2,Cat_2
610,460991,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_7,3,Cat_3
611,460993,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,6,Cat_6
612,460999,Male,No,28,Yes,Engineer,0.0,Low,3.0,Cat_3,0,Cat_0
613,461000,Male,Yes,60,No,Marketing,1.0,High,2.0,Cat_3,1,Cat_1
615,461015,Male,Yes,35,Yes,Entertainment,1.0,Average,2.0,Cat_3,6,Cat_6
616,461016,Male,No,25,No,Healthcare,5.0,Low,5.0,Cat_3,2,Cat_2
617,461022,Male,Yes,71,Yes,Artist,1.0,Low,1.0,Cat_3,4,Cat_4
619,461024,Male,Yes,74,Yes,Lawyer,1.0,Low,1.0,Cat_6,4,Cat_4
620,461028,Female,No,20,No,Healthcare,5.0,Low,4.0,Cat_4,2,Cat_2
621,461029,Male,Yes,43,No,Entertainment,9.0,Low,2.0,Cat_4,4,Cat_4
622,461034,Female,No,20,No,Marketing,3.0,Low,6.0,Cat_3,2,Cat_2
624,461038,Female,Yes,46,Yes,Engineer,0.0,High,5.0,Cat_3,5,Cat_5
625,461041,Female,Yes,65,No,Lawyer,1.0,High,7.0,Cat_3,1,Cat_1
627,461043,Male,Yes,50,No,Healthcare,1.0,Low,7.0,Cat_4,4,Cat_4
628,461044,Male,No,18,No,Healthcare,0.0,Low,5.0,Cat_4,2,Cat_2
629,461049,Female,Yes,61,Yes,Doctor,1.0,Low,7.0,Cat_7,5,Cat_5
632,461059,Female,Yes,52,No,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
633,461060,Male,Yes,56,Yes,Executive,0.0,High,5.0,Cat_6,1,Cat_1
635,461071,Male,Yes,42,No,Engineer,1.0,Average,5.0,Cat_3,6,Cat_6
636,461078,Female,No,33,No,Homemaker,0.0,Low,6.0,Cat_3,2,Cat_2
637,461082,Male,No,19,No,Healthcare,8.0,Low,4.0,Cat_1,2,Cat_2
638,461085,Female,No,27,No,Engineer,1.0,Low,1.0,Cat_3,2,Cat_2
639,461093,Female,Yes,38,Yes,Artist,1.0,Average,4.0,Cat_3,5,Cat_5
640,461099,Female,No,38,No,Artist,1.0,Low,4.0,Cat_3,2,Cat_2
641,461111,Female,Yes,43,Yes,Doctor,8.0,Low,1.0,Cat_6,3,Cat_3
642,461114,Male,Yes,53,Yes,Artist,1.0,Average,4.0,Cat_3,6,Cat_6
643,461116,Male,Yes,33,No,Executive,4.0,High,4.0,Cat_3,1,Cat_1
645,461119,Female,No,22,No,Healthcare,6.0,Low,3.0,Cat_3,2,Cat_2
646,461121,Male,No,33,No,Doctor,0.0,Low,4.0,Cat_3,2,Cat_2
647,461124,Male,No,21,No,Healthcare,1.0,Low,8.0,Cat_4,2,Cat_2
648,461127,Male,No,20,No,Healthcare,1.0,Low,5.0,Cat_4,2,Cat_2
649,461128,Male,No,19,No,Healthcare,7.0,Low,3.0,Cat_6,2,Cat_2
650,461129,Female,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,5,Cat_5
652,461145,Female,Yes,36,Yes,Entertainment,1.0,Low,2.0,Cat_3,5,Cat_5
654,461154,Male,No,23,No,Homemaker,1.0,Low,4.0,Cat_3,2,Cat_2
656,461162,Female,No,37,No,Marketing,8.0,Low,3.0,Cat_3,2,Cat_2
657,461163,Female,Yes,58,No,Entertainment,9.0,Low,4.0,Cat_3,5,Cat_5
658,461168,Female,Yes,26,No,Engineer,7.0,Average,2.0,Cat_3,5,Cat_5
659,461169,Male,No,39,Yes,Entertainment,9.0,Low,2.0,Cat_3,0,Cat_0
661,461177,Male,Yes,41,No,Executive,8.0,Average,4.0,Cat_1,6,Cat_6
662,461178,Male,Yes,26,No,Entertainment,0.0,Low,3.0,Cat_3,4,Cat_4
663,461179,Female,Yes,25,No,Engineer,3.0,Low,3.0,Cat_3,2,Cat_2
665,461183,Male,No,36,No,Executive,0.0,Low,5.0,Cat_3,2,Cat_2
666,461187,Male,No,29,No,Healthcare,9.0,Low,4.0,Cat_3,2,Cat_2
667,461197,Male,No,26,No,Marketing,1.0,Low,1.0,Cat_3,2,Cat_2
671,461211,Female,No,46,Yes,Entertainment,0.0,Low,1.0,Cat_6,3,Cat_3
672,461214,Male,No,29,No,Healthcare,0.0,Low,4.0,Cat_6,2,Cat_2
673,461215,Female,No,36,Yes,Artist,10.0,Low,1.0,Cat_6,3,Cat_3
674,461218,Male,Yes,27,No,Executive,1.0,Low,6.0,Cat_6,4,Cat_4
675,461220,Female,No,29,No,Executive,8.0,Low,3.0,Cat_6,2,Cat_2
676,461221,Female,No,25,No,Marketing,1.0,Low,4.0,Cat_6,2,Cat_2
677,461225,Female,No,30,No,Marketing,10.0,Low,6.0,Cat_6,2,Cat_2
682,461236,Female,No,28,Yes,Healthcare,9.0,Low,1.0,Cat_6,3,Cat_3
683,461237,Male,No,33,Yes,Doctor,1.0,Low,5.0,Cat_2,0,Cat_0
684,461241,Male,Yes,31,Yes,Healthcare,7.0,Low,2.0,Cat_6,4,Cat_4
685,461242,Male,Yes,45,Yes,Healthcare,0.0,Low,2.0,Cat_6,4,Cat_4
686,461243,Male,Yes,47,Yes,Marketing,0.0,Low,5.0,Cat_6,4,Cat_4
687,461248,Female,No,39,No,Healthcare,0.0,Low,1.0,Cat_6,3,Cat_3
689,461252,Female,Yes,53,Yes,Doctor,0.0,Low,1.0,Cat_3,3,Cat_3
690,461256,Male,No,27,No,Doctor,1.0,Low,4.0,Cat_4,2,Cat_2
691,461257,Male,Yes,37,Yes,Engineer,1.0,Average,2.0,Cat_4,6,Cat_6
692,461258,Female,Yes,62,Yes,Artist,1.0,Average,3.0,Cat_4,5,Cat_5
693,461262,Female,No,29,No,Engineer,0.0,Low,7.0,Cat_4,2,Cat_2
694,461263,Female,Yes,51,Yes,Artist,0.0,Low,1.0,Cat_4,3,Cat_3
695,461265,Male,No,30,No,Marketing,1.0,Low,6.0,Cat_4,2,Cat_2
696,461269,Male,No,18,No,Entertainment,0.0,Low,4.0,Cat_4,2,Cat_2
698,461276,Male,Yes,68,Yes,Marketing,0.0,Low,2.0,Cat_7,4,Cat_4
699,461277,Male,Yes,84,Yes,Lawyer,5.0,Low,1.0,Cat_6,4,Cat_4
700,461281,Male,No,22,No,Healthcare,2.0,Low,9.0,Cat_2,2,Cat_2
701,461286,Female,No,22,No,Doctor,2.0,Low,4.0,Cat_6,2,Cat_2
702,461289,Male,No,21,No,Healthcare,1.0,Low,3.0,Cat_6,2,Cat_2
704,461297,Male,Yes,73,No,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
705,461299,Female,Yes,75,Yes,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
706,461303,Female,No,20,No,Doctor,6.0,Low,4.0,Cat_2,2,Cat_2
707,461308,Male,No,22,No,Healthcare,1.0,Low,2.0,Cat_6,2,Cat_2
708,461309,Female,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,2,Cat_2
710,461314,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_6,6,Cat_6
711,461319,Male,Yes,58,No,Artist,0.0,Average,2.0,Cat_6,6,Cat_6
712,461320,Female,No,41,Yes,Artist,1.0,Low,3.0,Cat_6,3,Cat_3
713,461322,Male,Yes,42,Yes,Artist,0.0,Average,2.0,Cat_6,6,Cat_6
714,461323,Female,Yes,43,Yes,Healthcare,6.0,Average,2.0,Cat_6,5,Cat_5
715,461324,Female,No,49,Yes,Artist,3.0,Low,1.0,Cat_6,3,Cat_3
716,461326,Female,No,40,Yes,Artist,0.0,Low,1.0,Cat_6,3,Cat_3
717,461335,Male,Yes,53,No,Executive,8.0,High,2.0,Cat_6,1,Cat_1
718,461340,Male,Yes,36,Yes,Artist,4.0,Average,2.0,Cat_7,6,Cat_6
719,461346,Male,Yes,50,Yes,Artist,8.0,Low,2.0,Cat_6,4,Cat_4
720,461348,Male,Yes,42,Yes,Healthcare,1.0,Low,1.0,Cat_6,4,Cat_4
721,461350,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_2,2,Cat_2
722,461352,Male,No,29,No,Healthcare,2.0,Low,5.0,Cat_2,2,Cat_2
723,461356,Male,No,28,Yes,Entertainment,1.0,Low,2.0,Cat_6,0,Cat_0
724,461357,Male,No,27,Yes,Healthcare,1.0,Low,4.0,Cat_6,0,Cat_0
725,461363,Male,No,49,Yes,Artist,0.0,Low,1.0,Cat_6,0,Cat_0
726,461366,Male,No,32,Yes,Healthcare,1.0,Low,1.0,Cat_6,0,Cat_0
727,461370,Male,No,25,Yes,Doctor,1.0,Low,3.0,Cat_6,0,Cat_0
729,461378,Female,No,42,Yes,Artist,8.0,Low,1.0,Cat_6,3,Cat_3
731,461383,Male,Yes,71,Yes,Artist,0.0,High,2.0,Cat_6,1,Cat_1
733,461397,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_6,2,Cat_2
734,461402,Female,No,29,Yes,Entertainment,1.0,Low,5.0,Cat_6,3,Cat_3
735,461408,Male,Yes,47,Yes,Marketing,0.0,Low,3.0,Cat_6,4,Cat_4
737,461423,Male,No,32,Yes,Artist,1.0,Low,3.0,Cat_4,0,Cat_0
738,461426,Male,Yes,47,Yes,Artist,7.0,Average,2.0,Cat_6,6,Cat_6
739,461428,Male,No,46,Yes,Artist,0.0,Low,1.0,Cat_6,0,Cat_0
740,461432,Female,Yes,41,Yes,Artist,1.0,Average,2.0,Cat_6,5,Cat_5
741,461437,Male,Yes,37,Yes,Entertainment,0.0,Average,2.0,Cat_6,6,Cat_6
742,461439,Male,Yes,40,Yes,Artist,0.0,Average,2.0,Cat_6,6,Cat_6
743,461441,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,6,Cat_6
744,461442,Male,Yes,46,Yes,Artist,0.0,Average,6.0,Cat_2,6,Cat_6
745,461454,Female,Yes,36,Yes,Artist,6.0,High,4.0,Cat_7,5,Cat_5
746,461456,Female,No,38,No,Marketing,0.0,Low,1.0,Cat_6,3,Cat_3
747,461457,Female,Yes,32,No,Doctor,0.0,Low,5.0,Cat_6,2,Cat_2
748,461458,Female,No,41,Yes,Artist,5.0,Low,1.0,Cat_6,3,Cat_3
749,461462,Male,Yes,56,Yes,Marketing,0.0,Low,3.0,Cat_6,4,Cat_4
750,461465,Male,Yes,31,Yes,Artist,8.0,Average,2.0,Cat_6,6,Cat_6
751,461466,Male,Yes,45,No,Artist,0.0,Low,2.0,Cat_7,4,Cat_4
753,461469,Male,Yes,37,Yes,Artist,0.0,Low,2.0,Cat_6,4,Cat_4
754,461476,Male,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_2,6,Cat_6
755,461479,Female,Yes,52,Yes,Artist,1.0,Average,3.0,Cat_6,5,Cat_5
756,461480,Female,Yes,57,Yes,Artist,1.0,High,3.0,Cat_6,1,Cat_1
757,461482,Female,No,50,Yes,Artist,9.0,Low,1.0,Cat_6,3,Cat_3
758,461494,Male,Yes,27,No,Engineer,0.0,Average,2.0,Cat_6,6,Cat_6
759,461501,Female,Yes,45,Yes,Engineer,1.0,High,3.0,Cat_6,5,Cat_5
760,461503,Female,No,30,Yes,Artist,8.0,Low,2.0,Cat_6,3,Cat_3
761,461510,Male,Yes,45,Yes,Artist,0.0,Low,2.0,Cat_6,4,Cat_4
762,461514,Male,No,30,No,Healthcare,1.0,Low,4.0,Cat_6,2,Cat_2
763,461516,Male,Yes,31,Yes,Entertainment,1.0,Average,3.0,Cat_6,6,Cat_6
764,461518,Female,Yes,45,Yes,Artist,1.0,Average,4.0,Cat_3,5,Cat_5
765,461521,Male,Yes,67,Yes,Artist,0.0,High,2.0,Cat_6,1,Cat_1
766,461522,Male,Yes,76,No,Executive,1.0,High,2.0,Cat_6,1,Cat_1
767,461525,Male,Yes,69,Yes,Entertainment,0.0,Low,2.0,Cat_6,4,Cat_4
768,461526,Male,Yes,83,No,Entertainment,0.0,Low,2.0,Cat_6,4,Cat_4
